date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,106,33.021806853582554
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,215,66.97819314641744
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,136,40.23668639053255
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,202,59.76331360946746
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,228,68.8821752265861
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,103,31.1178247734139
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,52,69.33333333333334
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,23,30.666666666666664
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,164,73.87387387387388
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,58,26.126126126126124
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,56,19.9288256227758
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,225,80.0711743772242
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,101,29.022988505747126
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,247,70.97701149425288
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,175,36.231884057971016
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,308,63.76811594202898
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,4,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,238,50.317124735729394
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/08 Petaling,SJK (C) Kg. Baru Petaling,4,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,235,49.68287526427061
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/09 Kampong Gagu,Dewan Orang Ramai Kampung Gagu,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,282,74.21052631578947
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/09 Kampong Gagu,Dewan Orang Ramai Kampung Gagu,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,98,25.789473684210527
