date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,9,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,9,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,76,18.90547263681592
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,9,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,320,79.60199004975125
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,42,13.861386138613863
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,4,1.3201320132013201
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,75,24.752475247524753
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,182,60.066006600660074
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,23,6.927710843373494
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/04 Sepang Loi,SK Spang Loi,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,144,43.373493975903614
